AHiri,G3 R1 P S M1 N2 D1
asAvEri,R1 P S M1 N2 G2 D1
bhUpALam,P S G2 R1 D1
dhanyAsi,R1 P S M1 N2 D1 G2
punnAgavarALi,G2 R1 P S M1 N2 D1
sindhu bhairavi,G2 R2 R1 P S M1 N2 D1
kalagada,G3 R1 P S N1 D1
vasanthabhairavi,G3 R1 P S M1 N2 D1
ardhradhesi,G3 R1 P S M1 N3 D1
bowLi,G3 R1 P S N3 D1
gowLa,G3 R1 P S M1 N3
gowLipanthu,G3 R1 P S M1 N3 D1
gowri,G3 R1 P S M1 N3 D1
gujjari,G3 R1 P S M1 N3 D1
gumma kAmbhoji,G3 R1 P S M1 N3 D1
gundhakriya,G3 R1 P S M1 N3 D1
jaganmOhini,G3 R1 P S M1 N3
kannadaban'gALa,G3 R1 P S M1 D1
kRushNaveNi,G3 R1 P S M1 N3
lalithA,G3 R1 S M1 N3 D2
malaHari,G3 R1 P S M1 D1
mallikA vasantham,G3 R1 P S M1 N3 D1
mangaLakaishiki,G3 R1 P S M1 N3 D1
mEchabowLi,G3 R1 P S M1 D1
mEGaranjani,G3 S N3 M1 R1
nAdhanAmakriya,G3 R1 P S M1 N3 D1
pAdi,R1 P S M1 N3 D1
pharaz,G3 R1 P S M1 N3 D1
pUrvi,G3 R1 P S M1 N3 D1
rEvagupthi,P S G3 R1 D1
sAran'ganAtha,G3 R1 P S M1 N3 D1
sAvEri,G3 R1 P S M1 N3 D1
sindhu rAmakriya,G3 P S M1 N3 D1
thakka  (a),G3 R1 G3 P S M1 N3 D1
thakka  (b),G3 R1 P S M1 N3 D1
bindhumAlini,G3 R1 P S M1 N2 D2
kalAvathi,G3 R1 P S M1 D2
malayamArutham,G3 R1 P S N2 D2
valachi,D2 P N2 G3 S
vegavAHini,G3 R1 P S M1 N2 D2
bhairavam,G3 R1 P S M1 N3 D2
sowrAshtram,G3 R1 P S M1 N2 N3 D2
supradhIpam,G3 R1 P S M1 N3 D2
vasanthA,G3 R1 S M1 N3 D2
pUrnalalitha,G2 R2 P S M1 N1 D1
amrithavAHini,G2 R2 P S M1 N2 D1
Anandhabhairavi,G2 R2 P S M1 N2 D2
bhairavi,G2 R2 P S M1 N2 D2 D1
Gantha,G2 R2 P S M1 N2 D2
gopikavasantham,G2 P S M1 N2 D1
HindhoLam,N2 D1 M1 S G2
jayanthashrI,G2 P S M1 N2 D1
jingla,G2 R2 P S M1 N2 D1
mAnji,G2 R2 P S M1 N2 D2 D1
mArgaHindhoLam,G2 R2 P S M1 N2 D2
pUrNashajja,G2 R2 P S M1 N2
sAramathi,G2 R2 P S M1 N2 D1
sudhdha dhanyAsi,P N2 M1 S G2
sudhdha dhesi,G2 R2 P S M1 N2 D1
kiraNAvaLi,G2 R2 P S M1 N3 D1
kalyANa vasantham,G2 R2 P S M1 N3 D1
AbhEri,G2 R2 P S M1 N2 D2
abhOgi,M1 S D2 G2 R2
AndhOLika,R2 P S M1 N2 D2
bAgEshrI,G2 R2 P S M1 N2 D2
brindhAvanasAran'ga,G2 R2 P S M1 N2 N3
chiththaranjani,G2 R2 P S M1 N2 D2 N2
dharbAru,G2 R2 P S M1 N2 D2
dhEvAmRuthavarshiNi,G2 R2 P S M1 N2 D2
dhEvakriya,G2 R2 P S M1 N2 D2
dhEvamanOHari,R2 P S M1 N2 D2
dhilipakam,G2 R2 P S M1 N2 D2
HindhoLavasantha,G2 P S M1 N2 D2
HindhusthAni kApi,G2 R2 P S M1 N2 N3 D2
HusEni,G2 R2 P S M1 N2 D2 D1
jayamanOHari,G2 R2 S M1 N2 D2
jayanArAyaNi,G2 R2 P S M1 N2 D2
jayanthasEna,G2 P S M1 N2 D2
kAnadA,G2 R2 P S M1 N2 D2
kalAniDhi,G2 R2 P S M1 N2 D2
kannadagowLa,G2 R2 P S M1 N2 D2
kApijingla,G2 R2 S M1 N2 D2
karnAtaka kApi,G2 R2 P S M1 N2 D2
mAlavashrI,G2 P S M1 N2 D2
madhyamAvathi,P S M1 N2 R2
maNirangu,G2 R2 P S M1 N2
manjari,G2 R2 P S M1 N2 D2
manOHari,G2 R2 P S M1 D2
muKAri,G2 R2 P S M1 N2 D2 D1
nAdhachinthAmaNi *,G2 R2 P S M1 N2 D2
nAdhatharan'gini,G2 R2 P S M1 N2 D2
nAyaki,G2 R2 P S M1 N2 D2
phalamanjari,G2 R2 P S M1 N2 D2
panchama rAga,G2 R2 P S M1 N2 D2
pUrnashadjam,G2 R2 P S M1 N2
pushpalathika,G2 R2 P S M1 N2
rIthigowLa,G2 R2 P S M1 N2 D2
rudhrapriya,G2 R2 P S M1 N2 D2
sAlakabhairavi,G2 R2 P S M1 N2 D2
saindhavi,G2 R2 P S M1 N2 D2
sidhdhasEna,G2 R2 P S M1 N2 D2
shrIrAga,G2 R2 P S M1 N2 D2
shrIranjani,G2 R2 S M1 N2 D2
sudhdha ban'gALa,G2 R2 P S M1 D2
sudhdha dhanyAsi,P N2 M1 S G2
svarabhUshani,G2 R2 P S M1 N2 D2
vasantha varALi 1,G2 R2 P S M1 N3 D3
vasantha varALi 2,G1 R2 M1 N3 P S R2 M1 N3 D3
vIravasantham,G2 R2 P S M1 N3 D3
kamalAmanOHari,G3 P S M1 N3 D1
naLinakAnthi,G3 R2 P S M1 N3
baHudhAri,G3 P S M1 N2 D2
balaHamsa,G3 R2 P S M1 N2 D2
ChAyAtharan'giNi,G3 R2 P S M1 N2 D2
dhvijAvanthi,G3 G2 R2 P S M1 N2 D2
HaridhAsapriya *,G3 R2 P S M1 N2 D2
IshamanOHari,G3 R2 P S M1 N2 D2
janjUti,G3 R2 P S M1 N2 D2
jujAHuli,G3 P S M1 N2 D2
kAmbhOji,G3 R2 P S M1 N2 N3 D2
kApinArAyaNi,G3 R2 P S M1 N2 D2
kamAs,G3 R2 P S M1 N2 D2
karnAtaka bEHAg,G3 R2 P S M1 N2 D2
kedhAragowLa,G3 R2 P S M1 N2 D2
kOkilaDhvani,G3 R2 P S M1 N2 D2
kunthalavarALi,D2 P N2 M1 S
mAlavi,G3 R2 P S M1 N2 D2
mOHana,P S G3 D2 R2
nAgasvarAvaLi,G3 S M1 D2 P
nArAyaNagowLa,G3 R2 P S M1 N2 D2
nArAyani,R2 P S M1 N2 D2
nAtakuraN~ji,G3 R2 P S M1 N2 D2
navarasa kalAnidhi *,G3 R2 P S M1 N2 D2
navarasa kannada,G3 R2 P S M1 N2 D2
prathApa  varALi,G3 R2 P S M1 D2
pravAlajothi,G3 R2 P S M1 N2 D2
rAgapanjaram,R2 P S M1 N2 D2
ravichandhrika,G3 R2 S M1 N2 D2
sAma,G3 R2 P S M1 D2
saHAna,G3 R2 P S M1 N2 D2
sarasvathi manOHari,G3 R2 P S M1 N2 D2
sindhu kannada,G3 R2 P S M1 N2 D2
sudhdha tharan'gini,G3 R2 P S M1 N2 D2
supOshini,R2 P S M1 N2 D2
surati,R2 SN2D2PM1G3PM1R2S P S M1 N2
svarAvaLi,G3 R2 P S M1 N2 D2
svaravEdhi *,G3 P S M1 N2 D2
thilan'g,G3 P S M1 N2 N3
umAbharaNam,G3 R2 P S M1 N2 D2
vINA vAdhini,P S G3 N2 R2
vivardhini,G3 R2 P S M1 N2 D2
yadhukulakAmbhOji,G3 R2 P S M1 N2 D2
Arabhi,G3 R2 P S M1 N3 D2
atAna,G3 R2 P S M1 N3 D2
ban'gALa,G3 R2 P S M1 N3
begada,G3 R2 P S M1 N2 N3 D2
bEHAg,G3 R2 P S M1 N3 D2
bilaHari,G3 R2 P S M1 N3 D2
dhesAkshi,G3 R2 P S M1 N3 D2
dhEvagAndhAri,G3 R2 P S M1 N3 D2
garudaDhvani,G3 R2 P S M1 N3 D2
HamsaDhvani,P S N3 G3 R2
HindhusthAni bEHAg,G3 R2 P S M1 M2 N3 D2
janaranjani,G3 R2 P S M1 N3 D2
kadhana kuthUHalam,G3 R2 P S M1 N3 D2
kannada,G3 R2 N3. P S M1 N3 D2
kEdhAram,G3 R2 P S M1 N3
koiAHalam,G3 R2 P S M1 N3 D2
kuraN~ji,G3 R2 P S M1 N3 D2
kuthUHalam,G3 R2 P S M1 N3 D2
mAnd,G3 R2 P S M1 N3 D2
navaroj,G3 R2 P S M1 N3 D2
nIlAmbari,G3 R2 P S M1 N3 D2
pUrNachandhrika,G3 R2 P S M1 N3 D2
sindhu mandhAri,G3 R2 P S M1 N3 D2
sudhdha sAvEri,P S M1 D2 R2
ChAyAnAta,G3 R3 P S M1 N2 D2
gAnavAridhi,G3 R3 P S M1 N2 D2
gambhiranAta,G3 S N3 M1 P
nAta,G3 R3 P S M1 N3 D3
JinAvaLi,R1 G1 P S M2 N3 D1
varALi,R1 G1 P S M2 N3 D1
nabhOmaNi,R1 G1 P S M2 N2 D2
chandhrajyothi,R1 G1 P S M2 D2
vijayashrI,R1 G1 P S M2 N3
thivravAHini,R1 P S M2 N2 D2 G2
dhipaka,G3 R1 P S M2 N3 D1
mandhAri,G3 R1 P S M2 N3
rAma manOHari,G3 R1 P S M2 N2 D2
gamakakriya,G3 R1 P S M2 N3 D2
gamanakriya,G3 R1 P S M2 N3 D2
HamsAnandhi,G3 R1 S M2 N3 D2
mEchakAn'gi,G3 R1 P S M2 N3 D2
pUrvikalyANi,G3 R1 P S M2 N3 D2
vijayavasantha,G3 R1 P S M2 N3 D3
chinthAmaNi,G2 R2 P S M2 N2 D2 D1
sudhdha rAga,G2 R2 P S M2 N3
vijayanAgari,G2 R2 P S M2 D2
madhuvanthi,G2 R2 P S M2 N3 D2
ranjani,G2 R2 S M2 N3 D2
amarasenapriya,G2 R2 P S M2 N3
HamsanAdham,P S N3 R2 M2
kaikavAsi,G2 R2 P S M2 N3 D3
shruthiranjani,G3 R2 P S M2 N1 D1
gopriya,G3 R2 S M2 N2 D1
bhUshavaLi,G3 R2 P S M2 N2 D2
sarasvathi,R2 P S M2 N2 D2
HamirkalyANi,G3 R2 P S M1 M2 N3 D2
mOHanakalyANi,G3 R2 P S M2 N3 D2
sAran'ga,G3 R2 P S M1 M2 N3 D2
yamunAkalyANi,G3 R2 P S M2 D2
amRuthavarshiNi,P S N3 G3 M2
